,,,,,
,B&Y Venture Partners – Lebanon,لبنان / المنطقة,أبوظبي، الإمارات (مقر رئيسي),"Office 14-118, Floor 14, WeWork Hub71, Al Khatem Tower, ADGM Square, Al Maryah Island، أبوظبي / لها نشاط في لبنان والمنطقة",https://byvp.com
,Phoenician Funds,لبنان,بيروت، لبنان,"Lot 157, 3rd Floor, Saad Zaghloul Street, Marfaa Section 8, Downtown Beirut، بيروت 1107 / المقر الإقليمي: Office 15-113, 15th Floor, Al Khatem Tower, ADGM Square، أبوظبي cbinsights+2",https://phoenicianfunds.com
,Flat6Labs Beirut,لبنان,بيروت، لبنان,"BDD 740, Ground Floor, Tyane Street, Beirut Digital District، بيروت deelproject+2",https://flat6labs.com
,Middle East Venture Partners – Lebanon,لبنان / المنطقة,دبي، الإمارات (مقر رئيسي),"Emirates Financial Towers, South Tower, Suite 2402, DIFC، دبي / لها نشاط في لبنان والمنطقة",https://mevp.com
,B&Y Venture Partners – Jordan,الأردن / المنطقة,أبوظبي، الإمارات (مقر رئيسي),"Office 14-118, Floor 14, WeWork Hub71, Al Khatem Tower, ADGM Square, Al Maryah Island، أبوظبي / لها نشاط في الأردن والمنطقة",https://byvp.com
,ZINC – Zain Innovation Campus,الأردن,عمّان، الأردن,King Hussein Business Park، عمّان arageek,https://zinc.jo
,ISSF – Innovative Startups and SMEs Fund,الأردن,عمّان، الأردن,"3rd Circle, Tawfiq Abu Al-Huda St, Middle East Insurance Company Building, 1st Floor، عمّان 11193 zawya+2",https://issfjo.com
,Jordan Enterprise Development Corporation – JEDCO,الأردن,عمّان، الأردن,"P.O. Box 7704، عمّان 11118 / Ekremah Al-Qurayshi St, Al Abdali، عمّان atfp+2",https://jedco.gov.jo
,Flat6Labs Amman,الأردن,عمّان، الأردن,عمّان، الأردن (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة),https://flat6labs.com
,Oasis500 Fund,الأردن,عمّان، الأردن,"King Hussein Business Park, Building #7، عمّان 11183",https://oasis500.com
,216 Capital,تونس,تونس، تونس,Centre Urbain Nord، تونس linkedin,https://216capital.com
,Capsa Capital Partners,تونس,تونس، تونس,"10 Bis Rue Mahmoud El Matri, Mutuelleville، تونس 1002 cmf+2",https://capsacapital.com
,Flat6Labs Tunis,تونس,تونس، تونس,15 Av. De Carthage، تونس,https://flat6labs.com
,Smart Capital,تونس,تونس، تونس,"Immeuble Saphir, Avenue du Dinar, Les Berges du Lac 2، تونس 1053 pitchbook+2",https://smartcapital.tn
,Startup Tunisia,تونس,تونس، تونس,"Bloc A, Immeuble Saphir, Avenue Du Dinar، تونس 1053 / Cosmos Way, Galaxy Heights، تونس dharab+1",https://startup.gov.tn
,UM6P Ventures,المغرب,بن جرير / الدار البيضاء، المغرب,"المقر الرئيسي: Lot 660, Hay Moulay Rachid, Ben Guérir 43150 / مكتب الدار البيضاء: Complexe PARANFA, 2 rue Koronfal, Anfa، الدار البيضاء um6p+2",https://um6pventures.com
,Algeria Venture,الجزائر,الجزائر، الجزائر,"Dounia Parc, Route d'Ouled Fayet, Dely Ibrahim، الجزائر 16047 cbinsights+2",https://algeriaventure.dz
,الشركة,الدولة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني
,Flat6Labs Algeria,الجزائر,الجزائر، الجزائر,الجزائر، الجزائر (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) simplify,https://flat6labs.com
,MENA Fund,الجزائر / المنطقة,المنطقة (العنوان غير مُعلن),العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة lei.bloomberg,https://menafund.com
,ASF – Algerian Startup Fund,الجزائر,الجزائر، الجزائر,"46 Boulevard Mohamed V, Alger Centre، الجزائر 16000 pitchbook+2",https://asf.dz
,ANPT – National Agency for Promotion of Technology Parks,الجزائر,الجزائر، الجزائر,"Cyber Parc de Sidi Abdellah, Rahmania Zéralda، الجزائر 16063 asjp.cerist+2",https://www.anpt.dz
,Algerian Business Angels Network,الجزائر,الجزائر، الجزائر,"Dounia Parc, Dely Ibrahim، الجزائر 16000 / المقر الحالي: القاهرة، مصر (منذ 2026) abanangels+2",https://aban.dz
,Morocco Venture Capital,المغرب,الدار البيضاء، المغرب,"Tour Crystal 3, Bd Sidi Mohamed Ben Abdellah، الدار البيضاء 20100 / 350 SE 2nd Street, Suite 2220, Fort Lauderdale, FL 33301، USA marocventurecapital",https://moroccoventurecapital.com
,CDG Invest – Génération Entrepreneurs,المغرب,الرباط، المغرب,"Mahaj Ryad Center, Immeuble Business 7, 3ème Etage, Hay Riad، الرباط 10100",https://www.cdg-invest.ma
,Maroc Numeric Fund,المغرب,الدار البيضاء، المغرب,"Technopark, Route de Nouacer، الدار البيضاء 20150 privateequityinternational+2",https://www.marocnumericfund.ma
,MNF Club,المغرب,الدار البيضاء، المغرب,"Technopark, Route de Nouacer، الدار البيضاء 20150 privateequityinternational+2",https://mnfclub.ma
,212 Founders Fund,المغرب,الدار البيضاء، المغرب,"6ème étage, 60 Main Street, CFC، الدار البيضاء 20250 / 179 Angle des Boulevards de Londres et de la Résistance، الدار البيضاء 20250",https://212founders.co
,Afrimobility,المغرب,الدار البيضاء، المغرب,الدار البيضاء، المغرب (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) marocventurecapital,https://afrimobility.com
,Azur Innovation Fund,المغرب,الدار البيضاء، المغرب,"117, Avenue Hassan II, Immeuble Blue Park, 11th Floor، الدار البيضاء 20370",https://azurinnovationfund.com
,UM6P Ventures,المغرب,بن جرير / الدار البيضاء، المغرب,"المقر الرئيسي: Lot 660, Hay Moulay Rachid, Ben Guérir 43150 / مكتب الدار البيضاء: Complexe PARANFA, 2 rue Koronfal, Anfa، الدار البيضاء",https://um6pventures.com
,AfricInvest,تونس / أفريقيا,تونس، تونس,"Immeuble Integra, Centre Urbain Nord، تونس 1082 / North Urban Center، تونس 1082",https://www.africinvest.com
,Flat6Labs Tunis Fund,تونس,تونس، تونس,15 Av. De Carthage، تونس,https://flat6labs.com
,Carthage Business Angels,تونس,تونس، تونس,تونس، تونس (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) mdici.gov,https://carthagebusinessangels.com
,Tunisia Investment Authority,تونس,تونس، تونس,"Rue du Lac Huron, Les Berges du Lac 1، تونس 1053 mdici.gov+2",https://tia.gov.tn
,Smart Capital – Startup Act Ecosystem,تونس,تونس، تونس,"Immeuble Saphir, Avenue du Dinar, Les Berges du Lac 2، تونس 1053",https://smartcapital.tn
,216 Capital Fund,تونس,تونس، تونس,Centre Urbain Nord، تونس,https://216capital.com
,Carthage Innovation Fund,تونس,تونس، تونس,تونس، تونس (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) mdici.gov,https://cif.tn
,Flat6Labs Iraq,العراق,بغداد، العراق,بغداد، العراق (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) flat6labs+1,https://flat6labs.com
,Iraq Venture Partners,العراق,بغداد، العراق,"14 Ramadan, Area 607, Al Mansour، بغداد 64030 / مكتب دبي: Building A1, Dubai Digital Park, Dubai Silicon Oasis، دبي pitchbook+2",https://iraqventurepartners.com
,Kapita,العراق,بغداد، العراق,"KAPITA Business Hub, Al Mansoor، بغداد ecosystem.andorra-startup+2",https://kapita.iq
الشركة,الدولة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
Saudi Industrial Development Fund – SIDF,السعودية,الرياض، السعودية,"King Abdullah Financial District – Al Aqeeq District, Unit No. 2، الرياض 13519-6483 sidf.gov+2",https://www.sidf.gov.sa,
Aramco Ventures,السعودية,الظهران، السعودية,"Al-Midra Tower, 11th Floor, West Wing، الظهران 31311 / AMAAD Business Park, Tower 8, 8th Floor، الظهران 34464 pitchbook+2",https://aramcoventures.com,
Wa'ed Entrepreneurship Center,السعودية,الظهران، السعودية,"Innovation Cluster Building, Dhahran Techno Valley، الظهران 31311 / 8783 Ibn Alhaitham Street، DTV، الظهران 34464",https://www.waed.com,
STC Ventures,السعودية,الرياض، السعودية,"STC Headquarters, King Abdulaziz Road، الرياض 11432 pitchbook",https://www.stc.com.sa,
SABIC Ventures,السعودية,الرياض، السعودية,"SABIC Headquarters, King Saud Road، الرياض 11422 pitchbook",https://www.sabic.com,
NEOM Investment Fund,السعودية,نيوم، السعودية,"NEOM Headquarters, Tabuk Region، السعودية pitchbook",https://www.neom.com,
Al Rajhi Partners,السعودية,الرياض، السعودية,"7973 Abi Bakr As Siddiq Road, King Salman District، الرياض 13323 privateequityinternational+2",https://www.alrajhi.com,
Misk Accelerator Fund,السعودية,الرياض، السعودية,"Misk City, Al-Sefarat Dist, Abdullah Al-Sahami Street، الرياض 12512 wipo+1",https://misk.org.sa,
KAUST Innovation Fund,السعودية,ثول، السعودية,"Building 34, KRTP HQ, Level 2، ثول 23955-6900 pitchbook+2",https://innovation.kaust.edu.sa,
KAUST Entrepreneurship Ventures,السعودية,ثول، السعودية,"Building 34, KRTP HQ, Level 2، ثول 23955-6900 pitchbook+2",https://innovation.kaust.edu.sa,
Emirates NBD Innovation Fund,الإمارات,دبي، الإمارات,"Emirates NBD Headquarters, Baniyas Road, Deira، دبي wipo",https://www.emiratesnbd.com,
Mashreq Ventures,الإمارات,دبي، الإمارات,"Mashreq Headquarters, Trade Centre 2، دبي wipo",https://www.mashreq.com,
FAB Ventures,الإمارات,أبوظبي، الإمارات,"FAB Headquarters, Khalifa Business Park, Al Qurm، أبوظبي wipo",https://www.bankfab.com,
ADNOC Ventures,الإمارات,أبوظبي، الإمارات,"ADNOC HQ, Corniche Road West، ص.ب 898، أبوظبي adnoc+2",https://www.adnoc.ae,
Etisalat by e& Ventures,الإمارات,أبوظبي، الإمارات,"e& Headquarters, Sheikh Rashid Bin Saeed Al Maktoum Street، ص.ب 3838، أبوظبي eand+2",https://www.eand.com,
e& Capital,الإمارات,أبوظبي، الإمارات,"e& Headquarters, Sheikh Rashid Bin Saeed Al Maktoum Street، ص.ب 3838، أبوظبي eand+2",https://www.eand.com,
ADNOC Digital Ventures,الإمارات,أبوظبي، الإمارات,"ADNOC HQ, Corniche Road West، ص.ب 898، أبوظبي adnoc+2",https://www.adnoc.ae,
Emirates Post Group Ventures,الإمارات,أبوظبي، الإمارات,Emirates Post Group Headquarters، أبوظبي wipo,https://www.emiratespost.ae,
DP World Ventures,الإمارات,دبي، الإمارات,"DP World Headquarters, JAFZA One، دبي wipo",https://www.dpworld.com,
Majid Al Futtaim Ventures,الإمارات,دبي، الإمارات,"Majid Al Futtaim Headquarters, Al Barsha، دبي wipo",https://www.majidalfuttaim.com,
Al-Futtaim Ventures,الإمارات,دبي، الإمارات,"Al-Futtaim Group Headquarters, Jaddaf Waterfront، دبي wipo",https://www.alfuttaim.com,
Emaar Ventures,الإمارات,دبي، الإمارات,"Emaar Headquarters, Downtown Dubai، دبي wipo",https://www.emaar.com,
Qatar Investment Authority – Tech Investments,قطر,الدوحة، قطر,"Ooredoo Tower (Building 14), Dafna Street, Al Dafna District، ص.ب 23224، الدوحة qia+2",https://www.qia.qa,
Qatar FinTech Circle,قطر,الدوحة، قطر,Grand Hamad Street، الدوحة zoominfo+1,https://qatarfintechhub.com,
Qatar FinTech Hub,قطر,الدوحة، قطر,Grand Hamad Street، الدوحة zoominfo+2,https://qatarfintechhub.com,
Oman Startup Hub,عُمان,مسقط، عُمان,Knowledge Oasis Muscat (KOM)، مسقط wipo,https://omanstartuphub.com,
